Title,Price,Location,Date
Båt/Båtmotor/Båttrailer KÖPES,1 000 kr,Boden,7 juli
Ideal 430 med plastbehov. Stabil båt,3 000 kr,Kalix,15 juli
Båt Crescent,3 500 kr,Boden,I onsdags
sport båt,4 500 kr,Boden,30 juli
Liten plastbåt,4 500 kr,Luleå,12 juli
Laxen HT,4 500 kr,Luleå,4 juni
Motorbåt Jofa Winth 435 60HK,7 000 kr,Boden,I onsdags
ryds båt och båtvagn,7 000 kr,Gällivare,30 juli
Lami 425,8 500 kr,Kiruna,25 juli
Liten båt med motor,9 000 kr,Luleå,3 juli
Laxen 3,9 500 kr,Kiruna,16 juni
Båt med 50 Hk Mercury,10 000 kr,Luleå,29 juli
Fisherman 15,10 000 kr,Luleå,28 juli
Orrskär major,10 000 kr,Piteå,22 juni
"Plastbåt 4,75 med 40hk Yamaha",10 000 kr,Jokkmokk,11 juni
Utvik 400 SL,10 000 kr,Överkalix,8 juni
Båt med 10 hk utombordare,10 000 kr,Boden,8 juni
Båt med motor,11 000 kr,Pajala,12 juli
Utter,12 000 kr,Kalix,26 juli
Laxen 510,12 000 kr,Luleå,24 juni
Båt,12 000 kr,Kalix,22 juni
crescent 425,12 000 kr,Piteå,19 juni
"Snäckan, stabil båt, med utombordare och sjösättningsvagn",14 000 kr,Kalix,3 juli
Uttern styrpulpet,14 000 kr,Kalix,8 juni
Stjärnbåten weekend,14 995 kr,Boden,Igår 13:50
Uttern favorit med motor+vagn,15 000 kr,Arvidsjaur,Igår 17:28
"Motorbåt, Motor och Gummibåt",15 000 kr,Boden,I onsdags
Äldre motorbåt i bra skick.,15 000 kr,Haparanda,26 juli
handgjord motornbåt 5 m med Mercury motor,15 000 kr,Kalix,24 juli
Flipper med 30 hästkrafters yamaha,15 000 kr,Kalix,21 juli
Säivisbåt med Johnson Sea horse 25hk och båtvagn,15 000 kr,Luleå,16 juli
Sportbåt Streaker 15,15 000 kr,Gällivare,15 juli
båt,15 000 kr,Piteå,14 juli
Terhi 415R,15 000 kr,Piteå,5 juni
Älvbåtar Laxen- Stålnackebåt,15 900 kr,Kiruna,26 juli
Båt Laxen HT510,16 000 kr,Luleå,25 juli
Okelbo HT19,16 000 kr,Boden,17 juli
ryds båt med yamaha 25hk 2takt,16 000 kr,Kiruna,3 juli
Örnvik 450 med 50 HK Mercury,16 000 kr,Överkalix,10 juni
laxen 510,17 000 kr,Kalix,24 juli
Sportbåt,18 000 kr,Kalix,27 juli
Notviken 6m,18 000 kr,Haparanda,10 juli
Sjögren 69 plastsnipa från 1982,18 000 kr,Piteå,25 juni
vingö snipa,19 000 kr,Kalix,27 juli
Lami 435 med 4hk Mercury,19 000 kr,Luleå,5 juli
Power GT,19 000 kr,Boden,2 juni
Fisherman 15,20 000 kr,Luleå,29 juli
Komplett båt paket Cresent,20 000 kr,Kalix,23 juli
Timola 440 styrpulpet,20 000 kr,Övertorneå,17 juli
"Finnsport 420, 70hk mercury",20 000 kr,Överkalix,12 juli
Persson 520 Suzuki 20,20 000 kr,Boden,8 juli
Örnvik 481 ST utan motor,20 000 kr,Gällivare,16 juni
Ryds 480,21 000 kr,Kalix,24 juni
Dieselsnipa.polar 21 fot,22 000 kr,Boden,13 juli
Båt med 40hk Evinrude,22 000 kr,Piteå,11 juli
Uttern 440 60hk,22 000 kr,Piteå,3 juli
Örnvik 580,22 000 kr,Luleå,17 juni
Styrpulpet båt,23 000 kr,Kalix,28 juli
Uttern 510,23 000 kr,Piteå,8 juni
Båtpaket 25 000 (30 000),25 000 kr,Luleå,Igår 12:11
Styrpulpet båt,25 000 kr,Kalix,30 juli
Finnsport 420,25 000 kr,Luleå,27 juli
örnvik 510 HT,25 000 kr,Luleå,26 juli
forsbåt yki 540 med yamaha 8hk,25 000 kr,Gällivare,24 juli
Ideal 440 båt med Johnson 8hp 4-takt,25 000 kr,Kalix,21 juli
Örnvik 4.80,25 000 kr,Jokkmokk,20 juli
Båt ”Snäckan”,25 000 kr,Piteå,17 juli
Yamaha 25 Hk Båt,25 000 kr,Boden,16 juli
saga 20 snipa,25 000 kr,Piteå,8 juli
Örnvik 580 med yamaha 25hk,25 000 kr,Jokkmokk,7 juli
Motorbåt,25 000 kr,Kalix,25 juni
Yamarin 4220 med 80km/h vagn,25 000 kr,Boden,24 juni
Plastbåt säljes.,25 000 kr,Piteå,13 juni
Fiskebåt Arbetsbåt,25 000 kr,Arjeplog,5 juni
Marieholm M 22,25 000 kr,Haparanda,1 juni
Liten motorbåt,25 000 kr,Jokkmokk,1 juni
Forsbåt Laxen 1 med motor,26 000 kr,Haparanda,1 juli
Muovilami båt,27 000 kr,Luleå,11 juli
Stjärnbåten Weekend,28 000 kr,Luleå,11 juli
örnvik 540,28 000 kr,Piteå,30 juni
Marieholm Catalina m22,28 000 kr,Kalix,15 juni
Crescent båt med Yamaha 15 Hk,29 000 kr,Boden,26 juli
Trifoil 70 sport 50hk,29 990 kr,Överkalix,I onsdags
Monark 670,30 000 kr,Luleå,Igår 10:39
båt,30 000 kr,Kalix,26 juli
Västkust Snipa,30 000 kr,Kalix,11 juli
Plastbåt 6m + motor,30 000 kr,Gällivare,26 juni
Ideal 530 säjes,30 000 kr,Boden,24 juni
plast snipa,30 000 kr,Kalix,8 juni
Botnia 23,30 000 kr,Piteå,6 juni
snipa säljes,30 000 kr,Piteå,5 juni
Buster,32 000 kr,Piteå,22 juli
Pioner 13,32 000 kr,Jokkmokk,23 juni
cresent 418,34 000 kr,Kiruna,Igår 14:51
Ömo 640,34 000 kr,Kalix,26 juli
Linder 440 Fishing +9.8hk 4takt motor +Vagn,35 000 kr,Luleå,29 juli
Fisherman 20,35 000 kr,Luleå,27 juli
Finnspetsen 550,35 000 kr,Luleå,27 juli
Albin Siesta -80,35 000 kr,Boden,22 juli
Delta 17 DC 115hk,35 000 kr,Luleå,19 juli
Uttern 690,35 000 kr,Piteå,27 juni
Dubbelruffad Orustsnipa,35 000 kr,Piteå,26 juni
Båt Delta 17 DC Mercury 70hk,35 000 kr,Boden,25 juni
uttern favorit,35 000 kr,Luleå,19 juni
"uttern favorit 5,10",35 000 kr,Luleå,19 juni
uttern favorit,36 000 kr,Luleå,19 juni
Baskeribåt 6m,37 000 kr,Kalix,19 juli
Ryds Camping med trailer,37 500 kr,Luleå,10 juli
Ryds tumlaren,38 000 kr,Övertorneå,28 juni
"Fin HT 5,75m med 75hk Mercury",39 000 kr,Kalix,10 juli
"Örnvik 481 ST, 1 ägare 1987",39 000 kr,Piteå,13 juni
Aluminiumbåt Linder Fishing 440,39 000 kr,Piteå,9 juni
Aluminiumbåt Mariner 15S,40 000 kr,Luleå,28 juli
Arbetsbåt,40 000 kr,Luleå,28 juli
Flipper 510 HT,40 000 kr,Piteå,21 juli
Trolling båt,40 000 kr,Arjeplog,19 juli
personbåt 640,40 000 kr,Luleå,15 juli
Uttern 520,40 000 kr,Piteå,14 juli
Laxen 510 mycket bra skick,40 000 kr,Luleå,3 juli
Wrangler23dc,40 000 kr,Luleå,21 juni
"Perssons båt 460 - Suzuki 4-takt, 15 hk",40 000 kr,Jokkmokk,12 juni
Marieholm,40 000 kr,Piteå,2 juni
Daycruiser 22 Diesel,41 000 kr,Kalix,13 juli
Jerry,42 000 kr,Luleå,29 juli
"Nidelv 18 Daycruiser, uppdaterad: motor Fixad!",42 000 kr,Luleå,25 juli
Ryds Camping,42 000 kr,Piteå,22 juli
Flipper 570 + Yamaha 80hk,45 000 kr,Kalix,29 juli
forsbåt  yamaha f25,45 000 kr,Kiruna,28 juli
Båt Alpha 24,45 000 kr,Luleå,27 juli
"Sandström 425 basic 9,9 Mercury",45 000 kr,Kalix,4 juni
Flipper 570,46 000 kr,Luleå,17 juli
Flipper 575 med 70hk Yamaha,49 000 kr,Luleå,30 juli
Flipper 575 HT,49 000 kr,Luleå,1 juli
Utter 5200 DC,49 000 kr,Arvidsjaur,28 juni
uttern 5001,50 000 kr,Gällivare,25 juli
